iter	Passed	Remaining
0	134	134472
1	136	68016
2	137	45792
3	139	34777
4	141	28239
5	143	23807
6	145	20624
7	146	18124
8	146	16183
9	148	14682
10	149	13482
11	152	12517
12	154	11725
13	155	10970
14	157	10343
15	158	9778
16	160	9256
17	161	8783
18	162	8392
19	163	8034
20	164	7685
21	166	7388
22	167	7106
23	168	6842
24	169	6599
25	170	6369
26	170	6158
27	171	5965
28	172	5783
29	173	5613
30	174	5453
31	175	5302
32	176	5161
33	176	5027
34	177	4902
35	178	4783
36	179	4670
37	180	4567
38	181	4464
39	182	4376
40	183	4283
41	183	4194
42	184	4109
43	185	4029
44	186	3952
45	186	3878
46	187	3806
47	188	3739
48	189	3672
49	189	3609
50	190	3548
51	191	3488
52	192	3430
53	192	3374
54	193	3321
55	193	3269
56	194	3221
57	195	3175
58	196	3132
59	197	3088
60	197	3044
61	198	3001
62	199	2965
63	200	2927
64	200	2889
65	201	2852
66	202	2815
67	202	2780
68	203	2746
69	204	2712
70	204	2681
71	205	2650
72	206	2619
73	206	2589
74	207	2560
75	208	2533
76	209	2506
77	209	2481
78	210	2456
79	211	2431
80	212	2406
81	212	2382
82	213	2355
83	213	2332
84	214	2309
85	215	2287
86	215	2265
87	216	2244
88	217	2223
89	218	2205
90	218	2185
91	219	2166
92	220	2149
93	221	2132
94	222	2116
95	223	2100
96	223	2082
97	224	2067
98	225	2053
99	226	2039
100	227	2022
101	227	2006
102	228	1990
103	229	1975
104	229	1959
105	230	1944
106	231	1929
107	231	1914
108	232	1899
109	233	1885
110	233	1871
111	234	1858
112	235	1844
113	235	1832
114	236	1820
115	237	1807
116	237	1793
117	238	1781
118	239	1769
119	239	1758
120	240	1747
121	241	1737
122	242	1729
123	243	1718
124	244	1708
125	244	1698
126	245	1687
127	246	1677
128	246	1667
129	247	1656
130	248	1646
131	248	1636
132	249	1626
133	250	1617
134	250	1607
135	251	1598
136	252	1589
137	252	1580
138	253	1570
139	254	1562
140	255	1554
141	255	1545
142	256	1539
143	257	1531
144	258	1523
145	258	1514
146	259	1506
147	260	1497
148	260	1489
149	261	1481
150	262	1474
151	262	1466
152	263	1459
153	264	1451
154	264	1444
155	265	1436
156	266	1429
157	266	1422
158	267	1414
159	268	1407
160	268	1399
161	269	1391
162	269	1384
163	270	1379
164	271	1373
165	272	1368
166	273	1362
167	273	1356
168	274	1350
169	275	1343
170	275	1337
171	276	1331
172	277	1325
173	277	1318
174	278	1312
175	279	1306
176	279	1300
177	280	1294
178	280	1288
179	281	1282
180	282	1277
181	282	1271
182	283	1265
183	284	1261
184	285	1256
185	286	1252
186	287	1248
187	288	1244
188	288	1239
189	289	1234
190	290	1229
191	290	1224
192	291	1219
193	292	1214
194	293	1209
195	293	1204
196	294	1200
197	295	1195
198	295	1190
199	296	1185
200	297	1180
201	297	1175
202	298	1172
203	299	1168
204	300	1165
205	301	1161
206	302	1158
207	303	1155
208	304	1151
209	304	1147
210	305	1143
211	306	1139
212	307	1135
213	308	1131
214	308	1127
215	309	1123
216	310	1119
217	310	1115
218	311	1111
219	312	1107
220	312	1103
221	313	1099
222	314	1095
223	314	1091
224	315	1087
225	316	1083
226	317	1080
227	318	1077
228	319	1074
229	319	1070
230	320	1066
231	320	1062
232	321	1058
233	322	1054
234	322	1050
235	323	1047
236	324	1043
237	324	1039
238	325	1035
239	325	1032
240	326	1028
241	327	1025
242	328	1022
243	328	1018
244	329	1015
245	330	1011
246	330	1008
247	331	1005
248	332	1003
249	333	1001
250	334	998
251	335	995
252	336	992
253	336	989
254	337	986
255	338	983
256	338	979
257	339	976
258	340	973
259	340	970
260	341	966
261	342	963
262	342	960
263	343	957
264	344	954
265	344	951
266	345	948
267	346	945
268	346	942
269	348	941
270	348	938
271	349	935
272	350	932
273	350	929
274	351	926
275	352	923
276	352	921
277	353	918
278	354	915
279	354	912
280	355	910
281	356	907
282	357	904
283	357	902
284	358	899
285	359	896
286	359	893
287	360	890
288	361	888
289	362	886
290	362	884
291	363	881
292	364	879
293	365	876
294	365	874
295	366	871
296	367	869
297	367	866
298	368	864
299	369	861
300	369	859
301	370	856
302	371	853
303	371	851
304	372	849
305	373	846
306	373	844
307	374	841
308	375	839
309	375	836
310	376	834
311	377	833
312	378	830
313	379	828
314	379	826
315	380	823
316	381	821
317	382	819
318	382	817
319	383	814
320	384	812
321	384	810
322	385	808
323	386	806
324	387	804
325	387	801
326	388	799
327	389	797
328	389	794
329	390	792
330	391	790
331	392	788
332	392	786
333	393	785
334	394	783
335	395	781
336	395	778
337	396	776
338	397	774
339	397	772
340	398	770
341	399	768
342	399	765
343	400	763
344	401	761
345	401	759
346	402	757
347	403	755
348	403	753
349	404	751
350	405	749
351	405	747
352	406	745
353	407	743
354	408	741
355	409	740
356	409	738
357	410	736
358	411	734
359	411	732
360	412	730
361	413	728
362	413	726
363	414	724
364	415	722
365	415	720
366	416	718
367	417	716
368	417	714
369	418	712
370	419	710
371	419	708
372	420	706
373	421	704
374	421	703
375	422	701
376	423	700
377	424	698
378	425	696
379	426	695
380	426	693
381	427	692
382	428	690
383	429	688
384	430	687
385	430	685
386	431	683
387	431	681
388	432	679
389	433	677
390	433	675
391	434	673
392	435	672
393	435	670
394	436	668
395	437	666
396	438	665
397	439	664
398	440	662
399	440	661
400	441	659
401	442	657
402	442	655
403	443	654
404	444	652
405	444	650
406	445	648
407	446	647
408	446	645
409	447	643
410	448	642
411	448	640
412	449	638
413	450	637
414	450	635
415	451	633
416	452	632
417	453	631
418	454	629
419	455	629
420	456	628
421	457	626
422	458	625
423	459	623
424	459	622
425	460	620
426	461	619
427	462	617
428	462	616
429	463	614
430	464	613
431	465	611
432	465	609
433	466	608
434	467	606
435	467	605
436	468	603
437	469	602
438	470	601
439	471	599
440	471	598
441	472	596
442	473	594
443	473	593
444	474	591
445	475	590
446	475	588
447	476	587
448	477	585
449	477	583
450	478	582
451	478	580
452	479	579
453	480	577
454	480	576
455	481	574
456	482	573
457	483	571
458	484	570
459	484	569
460	485	568
461	486	566
462	487	565
463	487	563
464	488	562
465	489	560
466	489	559
467	490	557
468	491	556
469	492	554
470	492	553
471	493	551
472	494	550
473	494	548
474	495	547
475	495	545
476	496	544
477	497	543
478	498	541
479	499	540
480	500	539
481	500	538
482	501	536
483	502	535
484	503	534
485	503	532
486	504	531
487	504	529
488	505	528
489	506	527
490	507	525
491	507	524
492	508	523
493	509	521
494	510	520
495	510	518
496	511	517
497	512	516
498	513	515
499	513	513
500	515	512
501	516	511
502	516	510
503	517	509
504	518	508
505	519	506
506	520	505
507	520	504
508	521	503
509	522	502
510	523	500
511	524	499
512	525	498
513	525	497
514	526	495
515	527	494
516	528	493
517	529	492
518	530	491
519	531	490
520	532	489
521	532	487
522	533	486
523	534	485
524	535	484
525	536	483
526	536	481
527	537	480
528	538	479
529	539	478
530	539	476
531	540	475
532	541	474
533	542	473
534	542	471
535	543	470
536	544	469
537	545	468
538	546	467
539	547	466
540	547	464
541	548	463
542	549	462
543	549	460
544	550	459
545	550	458
546	551	456
547	552	455
548	552	454
549	553	452
550	554	451
551	554	450
552	555	449
553	556	447
554	556	446
555	557	445
556	558	444
557	559	442
558	560	441
559	560	440
560	561	439
561	562	438
562	563	437
